variable,label,scale,subscale,keying,type,value_labels
bfas_44,Warm up quickly to others.,extraversion,enthusiasm,1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_45,Avoid philosophical discussions.,openness,intellect,-1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_46,Change my mood a lot.,neuroticism,volatility,1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_47,Avoid imposing my will on others.,agreeableness,politeness,1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_48,Am not bothered by messy people.,conscientiousness,orderliness,-1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_49,Wait for others to lead the way.,extraversion,assertiveness,-1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_50,Do not like poetry.,openness,openness,-1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_51,Worry about things.,neuroticism,withdrawal,1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_52,Am indifferent to the feelings of others.,agreeableness,compassion,-1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_53,Don't put my mind on the task at hand.,conscientiousness,industriousness,-1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_54,Rarely get caught up in the excitement.,extraversion,enthusiasm,-1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_55,Avoid difficult reading material.,openness,intellect,-1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_56,Rarely lose my composure.,neuroticism,volatility,-1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_57,Rarely put people under pressure.,agreeableness,politeness,1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_58,Want everything to be “just right.”,conscientiousness,orderliness,1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_59,See myself as a good leader.,extraversion,assertiveness,1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_60,Seldom notice the emotional aspects of painting and pictures.,openness,openness,-1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_61,Am easily discouraged.,neuroticism,withdrawal,1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_62,Take no time for others.,agreeableness,compassion,-1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_63,Get things done quickly.,conscientiousness,industriousness,1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_64,Am not a very enthusiastic person.,extraversion,enthusiasm,-1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_65,Have a rich vocabulary.,openness,intellect,1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_66,Am a person whose moods go up and down easily.,neuroticism,volatility,1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_67,Insult people.,agreeableness,politeness,-1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_68,Am not bothered by disorder.,conscientiousness,orderliness,-1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_69,Can talk others into doing things.,extraversion,assertiveness,1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_70,Need a creative outlet.,openness,openness,1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_71,Am not embarrassed easily.,neuroticism,withdrawal,-1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_72,Take an interest in other people's lives.,agreeableness,compassion,1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_73,Always know what I am doing.,conscientiousness,industriousness,1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_74,Show my feelings when I'm happy.,extraversion,enthusiasm,1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_75,Think quickly.,openness,intellect,1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_76,Am not easily annoyed.,neuroticism,volatility,-1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_77,Seek conflict.,agreeableness,politeness,-1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_78,Dislike routine.,conscientiousness,orderliness,-1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_79,Hold back my opinions.,extraversion,assertiveness,-1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_80,Seldom get lost in thought.,openness,openness,-1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_81,Become overwhelmed by events.,neuroticism,withdrawal,1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_82,Don't have a soft side.,agreeableness,compassion,-1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_83,Postpone decisions.,conscientiousness,industriousness,-1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_84,Have a lot of fun.,extraversion,enthusiasm,1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_85,Learn things slowly.,openness,intellect,-1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_86,Get easily agitated.,neuroticism,volatility,1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_87,Love a good fight.,agreeableness,politeness,-1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_88,See that rules are observed.,conscientiousness,orderliness,1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_89,Am the first to act.,extraversion,assertiveness,1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_90,Seldom daydream.,openness,openness,-1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_91,Am afraid of many things.,neuroticism,withdrawal,1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_92,Like to do things for others.,agreeableness,compassion,1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_93,Am easily distracted.,conscientiousness,industriousness,-1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_94,Laugh a lot.,extraversion,enthusiasm,1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_95,Formulate ideas clearly.,openness,intellect,1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_96,Can be stirred up easily.,neuroticism,volatility,1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_97,Am out for my own personal gain.,agreeableness,politeness,-1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_98,Want every detail taken care of.,conscientiousness,orderliness,1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_99,Do not have an assertive personality.,extraversion,assertiveness,-1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
bfas_100,See beauty in things that others might not notice.,openness,openness,1,numeric,1 Strongly Disagree 2 Disagree 3 Neither Agree nor Disagree 4 Agree 5 Strongly Agree
age,Age,,,,character,NA
gender,I identify my gender as: (please specify),,,,character,NA
race,I identify my race/ethnicity as: (please specify),,,,character,NA
year,What is your current year in school?,,,,character,NA
socialclass,Which of the following best describes your social class background?,,,,factor,1 Low-income/poor 2 Working class/Lower middle class 3 Middle class 4 Upper middle class 5 Upper class
usborn,Were you born in the U.S.?,,,,factor,1 No 2 Yes
